transaction_id,account_id,customer_id,transaction_timestamp,transaction_hour,is_weekend,amount,currency,transaction_type,channel,status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_country,device_id,device_type,is_new_device,ip_address,auth_method,is_card_present,is_foreign_transaction,distance_from_home_km,time_since_prev_txn_mins,txn_count_last_24h,txn_count_last_7d,amount_to_account_avg_ratio,balance_after_txn,timestamp,note,quarantine_reason,customer_id_acct,account_type,account_status,account_tier,card_type,credit_limit,current_balance,avg_monthly_balance_6m,credit_utilization_pct,num_linked_devices,avg_monthly_txn_count,overdraft_enabled,is_joint_account,open_date,close_date
TXN_0000459,ACC_000094,CUST_00067,2026-06-13 02:59:53,2,True,,inr,transfer,internet_banking,success,MER_6866,CryptoXchange Global,crypto,lagos,NG,DEV_112885,android,False,186.22.247.12,otp,False,True,2392.9,18648.45,0,0,6.662,-167878.25,2026-06-13 02:59:53,CryptoXchange Global,"amount unparsable (N/A, blank, non-numeric)",,,,,,,,,,,,,,,
TXN_0000109,ACC_000060,CUST_00042,11/04/2026 19:18,19,True,,inr,purchase,pos,success,MER_8430,Ola Cabs,transport,kochi,IN,DEV_142238,pos_terminal,True,,pin,True,False,5.0,,0,0,,78881.78,2026-11-04 19:18:00,Ola Cabs,"amount unparsable (N/A, blank, non-numeric)",,,,,,,,,,,,,,,
TXN_0000334,ACC_000107,CUST_00077,2026-05-22 01:17:46,1,False,,inr,purchase,pos,success,MER_5795,Cafe Coffee Day,unknown,indore,IN,DEV_359178,pos_terminal,True,,pin,True,False,2.7,317.0,1,1,0.008,3722.6,2026-05-22 01:17:46,Cafe Coffee Day,"amount unparsable (N/A, blank, non-numeric)",,,,,,,,,,,,,,,
TXN_0000605,ACC_000116,CUST_00082,2026-07-08 23:04:48,23,False,,inr,purchase,pos,success,MER_5005,Tanishq Jewellers,jewellery,panama_city,PA,DEV_597484,pos_terminal,False,,pin,True,True,4176.6,26973.4,0,0,39.654,46090.85,2026-07-08 23:04:48,Tanishq Jewellers,"amount unparsable (N/A, blank, non-numeric)",,,,,,,,,,,,,,,
TXN_0000485,ACC_000029,CUST_00020,2026-06-17 20:10:54,20,False,,inr,purchase,pos,success,MER_6986,HP Fuel Station,fuel,noida,IN,DEV_231165,pos_terminal,False,,unknown,True,False,17.2,26437.0,0,0,1.829,138586.16,2026-06-17 20:10:54,HP Fuel Station,"amount unparsable (N/A, blank, non-numeric)",,,,,,,,,,,,,,,
TXN_0000271,ACC_000046,CUST_00032,2026-05-11 07:49:06,7,False,-24174.13,inr,unknown,pos,unknown,MER_1412,Croma Electronics,electronics,pune,IN,DEV_564077,pos_terminal,False,,unknown,True,False,11.5,16646.72,0,0,0.82,89306.4,2026-05-11 07:49:06,Croma Electronics,amount non-positive,,,,,,,,,,,,,,,
TXN_0000877,ACC_000166,CUST_00112,2026-08-28 11:00:34,11,False,0.0,inr,purchase,unknown,success,MER_7380,Local Kirana Store,grocery,hyderabad,IN,DEV_493914,unknown,False,,pin,True,False,7.5,74.0,1,1,0.064,13458.39,2026-08-28 11:00:34,Local Kirana Store,amount non-positive,,,,,,,,,,,,,,,
TXN_0000443,ACC_000033,CUST_00022,2026-06-07 12:48:14,12,True,-63866.44,inr,purchase,online,unknown,MER_1412,Croma Electronics,electronics,panama_city,PA,DEV_989838,windows_desktop,True,97.166.137.53,unknown,False,True,10076.9,28.55,4,4,1.86,-19889.72,2026-06-07 12:48:14,Croma Electronics,amount non-positive,,,,,,,,,,,,,,,
TXN_0000566,ACC_000070,CUST_00048,2026-07-04 02:24:40,2,True,0.0,inr,purchase,online,success,MER_6393,IRCTC Rail,travel,chennai,IN,DEV_508881,windows_desktop,False,49.59.128.137,3ds,False,False,15.2,359.0,2,2,0.28,7156.67,2026-07-04 02:24:40,IRCTC Rail,amount non-positive,,,,,,,,,,,,,,,
TXN_0000720,ACC_000124,CUST_00087,2026-08-03 06:07:48,6,False,0.0,inr,payment,mobile_app,success,MER_8691,NEFT Beneficiary,fund_transfer,singapore,SG,DEV_507888,windows_desktop,False,188.207.231.55,otp,False,True,3471.4,410.0,1,1,2.535,4713.83,2026-08-03 06:07:48,NEFT Beneficiary,amount non-positive,,,,,,,,,,,,,,,
